Tarih,Başlık,Metin,ParsedDate,Month,english_text,lemmatized_text,stemmed_text
"Fri, 10 Aug 2018 07:00:00 GMT",Piyasa tatmin olmadı - DW,piyasa tatmin olmadı dw,2018-08-10 07:00:00,8,The market is not satisfied dw,market satisfied dw,market satisfi dw
"Tue, 07 Aug 2018 07:00:00 GMT","FT'ye yazan piyasa uzmanı Tatiana Orlova: Erdoğan, Putin'in izinden giderek Merkez Bankası'nın bağımsızlığını göstermesine izin vermeli - BBC",ft ye yazan piyasa uzmanı tatiana orlova erdoğan putin in izinden giderek merkez bankası nın bağımsızlığını göstermesine izin vermeli bbc,2018-08-07 07:00:00,8,"Writing in the FT, market expert Tatiana Orlova Erdogan should follow Putin and allow the central bank to demonstrate its independence BBC",write ft market expert tatiana orlova erdogan follow putin allow central bank demonstrate independence bbc,write ft market expert tatiana orlova erdogan follow putin allow central bank demonstr independ bbc
"Fri, 03 Aug 2018 07:00:00 GMT",Apple'ın 1 trilyon dolarlık yolculuğu - Anadolu Ajansı,apple ın one trilyon dolarlık yolculuğu anadolu ajansı,2018-08-03 07:00:00,8,apple's one trillion dollar journey anadolu agency,apple one trillion dollar journey anadolu agency,appl one trillion dollar journey anadolu agenc
"Sat, 24 Mar 2018 07:00:00 GMT",Doğan Holding hisseleri neden yüzde 70 arttı? - BBC,doğan holding hisseleri neden yüzde seventy arttı bbc,2018-03-24 07:00:00,3,why dogan holding shares increased by seventy percent bbc,dogan hold share increase seventy percent bbc,dogan hold share increas seventi percent bbc
"Wed, 05 Sep 2018 07:00:00 GMT",E-ticaret devi Amazon'un 1 trilyon dolarlık yükselişi - Anadolu Ajansı,e ticaret devi amazon un one trilyon dolarlık yükselişi anadolu ajansı,2018-09-05 07:00:00,9,One trillion dollar rise of e-commerce giant Amazon Anadolu Agency,one trillion dollar rise giant amazon anadolu agency,one trillion dollar rise giant amazon anadolu agenc
"Wed, 03 Jan 2018 08:00:00 GMT","1 trilyon dolarlık şirket yarışı: Apple mı, Amazon mu? - BBC",one trilyon dolarlık şirket yarışı apple mı amazon mu bbc,2018-01-03 08:00:00,1,one trillion dollar company race apple vs amazon bbc,one trillion dollar company race apple v amazon bbc,one trillion dollar compani race appl vs amazon bbc
"Wed, 04 Apr 2018 07:00:00 GMT",Spotify'ın piyasa değeri bir günde Twitter'ı geride bıraktı - Anadolu Ajansı,spotify ın piyasa değeri bir günde twitter ı geride bıraktı anadolu ajansı,2018-04-04 07:00:00,4,Spotify's market value surpassed Twitter in one day Anadolu Agency,spotify market value surpass twitter one day anadolu agency,spotifi market valu surpass twitter one day anadolu agenc
"Tue, 13 Nov 2018 08:00:00 GMT",Gelişen piyasa paraları baht öncülüğünde yükseldi | Son dakika ekonomi haberleri - Bloomberght,gelişen piyasa paraları baht öncülüğünde yükseldi son dakika ekonomi haberleri bloomberght,2018-11-13 08:00:00,11,Emerging market currencies rose led by baht breaking economic news bloomberght,emerge market currency rise lead baht break economic news bloomberght,emerg market currenc rose led baht break econom news bloomberght
"Wed, 17 Jan 2018 08:00:00 GMT","Kripto paralar tepetaklak: Bitcoin, 10 bin doların altına indi - BBC",kripto paralar tepetaklak bitcoin ten bin doların altına indi bbc,2018-01-17 08:00:00,1,Cryptocurrencies went upside down from Bitcoin to below a thousand dollars BBC,cryptocurrencies go upside bitcoin thousand dollar bbc,cryptocurr went upsid bitcoin thousand dollar bbc
"Mon, 22 Oct 2018 07:00:00 GMT",Recep Atakan - Piyasa - Bloomberght,recep atakan piyasa bloomberght,2018-10-22 07:00:00,10,recep atakan market bloomberght,recep atakan market bloomberght,recep atakan market bloomberght
"Thu, 11 Jan 2018 08:00:00 GMT",Piyasadaki en tuhaf 8 kripto para - BBC,piyasadaki en tuhaf eight kripto para bbc,2018-01-11 08:00:00,1,The eight weirdest cryptocurrencies on the market BBC,eight weird cryptocurrencies market bbc,eight weirdest cryptocurr market bbc
"Fri, 27 Apr 2018 07:00:00 GMT",Dolar kuru 4.05 TL'nin altını gördü! İşte piyasa beklentisi - Bigpara,dolar kuru four five tl nin altını gördü i̇şte piyasa beklentisi bigpara,2018-04-27 07:00:00,4,"The dollar exchange rate has reached below four five TL, here is the market expectation bigpara",dollar exchange rate reach four five tl market expectation bigpara,dollar exchang rate reach four five tl market expect bigpara
"Wed, 27 Jun 2018 07:00:00 GMT",Dolar kuru 4.60 TL'nin altını gördü! İşte piyasa beklentisi - Bigpara,dolar kuru four sixty tl nin altını gördü i̇şte piyasa beklentisi bigpara,2018-06-27 07:00:00,6,"The dollar exchange rate has reached below four sixty TL, here is the market expectation bigpara",dollar exchange rate reach four sixty tl market expectation bigpara,dollar exchang rate reach four sixti tl market expect bigpara
"Mon, 08 Jan 2018 08:00:00 GMT","Piyasa değeri sıralamasında Neymar zirvede, Ronaldo düşüşte - eurosport.com.tr",piyasa değeri sıralamasında neymar zirvede ronaldo düşüşte eurosport com tr,2018-01-08 08:00:00,1,"Neymar is at the top in the market value rankings, Ronaldo is in decline eurosport com en",neymar top market value ranking ronaldo decline eurosport com en,neymar top market valu rank ronaldo declin eurosport com en
"Wed, 19 Dec 2018 08:00:00 GMT",TMSF bünyesindeki 933 şirketin piyasa değeri 55 milyar lira - Platin Dergisi,tmsf bünyesindeki nine hundred and thirty three şirketin piyasa değeri fifty five milyar lira platin dergisi,2018-12-19 08:00:00,12,The market value of nine hundred and thirty three companies within TMSF is fifty five billion lira platinum magazine,market value nine hundred thirty three company within tmsf fifty five billion lira platinum magazine,market valu nine hundr thirti three compani within tmsf fifti five billion lira platinum magazin
"Thu, 12 Jul 2018 07:00:00 GMT","Dünya borsaları 4,2 trilyon dolar eridi - Uzmanpara",dünya borsaları four two trilyon dolar eridi uzmanpara,2018-07-12 07:00:00,7,World stock markets melted four two trillion dollars Uzmanpara,world stock market melt four two trillion dollar uzmanpara,world stock market melt four two trillion dollar uzmanpara
"Wed, 18 Jul 2018 07:00:00 GMT",Dünyanın en değerli kulübü yine değişmedi - Anadolu Ajansı,dünyanın en değerli kulübü yine değişmedi anadolu ajansı,2018-07-18 07:00:00,7,The most valuable club in the world has not changed again Anadolu Agency,valuable club world change anadolu agency,valuabl club world chang anadolu agenc
"Thu, 11 Jan 2018 08:00:00 GMT","SexCoin'den UFOcoin'e, Bitcoin'in En İlginç 8 Rakibi - Bianet",sexcoin den ufocoin e bitcoin in en i̇lginç eight rakibi bianet,2018-01-11 08:00:00,1,"Bitcoin's eight most interesting rivals, from sexcoin to ufocoin bianet",bitcoin eight interest rival sexcoin ufocoin bianet,bitcoin eight interest rival sexcoin ufocoin bianet
"Wed, 28 Mar 2018 07:00:00 GMT",'Trump peşine düştü' iddiası 54 milyar dolar kaybettirdi - Anadolu Ajansı,trump peşine düştü iddiası fifty four milyar dolar kaybettirdi anadolu ajansı,2018-03-28 07:00:00,3,The claim that Trump went after him made him lose fifty-four billion dollars. Anadolu Agency,claim trump go make lose billion dollar anadolu agency,claim trump went made lose billion dollar anadolu agenc
"Mon, 04 Jun 2018 07:00:00 GMT","Harry Kane, futbolun yıldızlarını geride bıraktı - Anadolu Ajansı",harry kane futbolun yıldızlarını geride bıraktı anadolu ajansı,2018-06-04 07:00:00,6,harry kane leaves football stars behind anadolu agency,harry kane leaf football star behind anadolu agency,harri kane leav footbal star behind anadolu agenc
"Tue, 29 May 2018 07:00:00 GMT",Mohamed Salah Ronaldo’yu solladı - FOTOMAÇ,mohamed salah ronaldo yu solladı fotomaç,2018-05-29 07:00:00,5,mohamed salah overtakes ronaldo fotomaç,mohamed salah overtakes ronaldo fotomaç,moham salah overtak ronaldo fotomaç
"Mon, 04 Jun 2018 07:00:00 GMT",Avrupa'nın en değerli oyuncusu Harry Kane - eurosport.com.tr,avrupa nın en değerli oyuncusu harry kane eurosport com tr,2018-06-04 07:00:00,6,Europe's most valuable player harry kane eurosport com tr,europe valuable player harry kane eurosport com tr,europ valuabl player harri kane eurosport com tr
"Mon, 08 Jan 2018 08:00:00 GMT",Piyasa değeri en yüksek futbolcular - Fanatik,piyasa değeri en yüksek futbolcular fanatik,2018-01-08 08:00:00,1,Football players with the highest market value fanatic,football player high market value fanatic,footbal player highest market valu fanat
"Sun, 11 Mar 2018 08:00:00 GMT",Piyasa genelinde düşüş gözlemlendi - Demirören Haber Ajansı,piyasa genelinde düşüş gözlemlendi demirören haber ajansı,2018-03-11 08:00:00,3,A decline was observed throughout the market Demirören News Agency,decline observe throughout market demirören news agency,declin observ throughout market demirören news agenc
"Mon, 05 Feb 2018 08:00:00 GMT","Narkotik köpeği 'Kurt', piyasa değeri 7 milyon TL'lik uyuşturucuyu yakaladı - T24",narkotik köpeği kurt piyasa değeri seven milyon tl lik uyuşturucuyu yakaladı ttwenty four,2018-02-05 08:00:00,2,narcotic dog Kurt caught drugs worth millions of TL with a market value ttwenty four,narcotic dog kurt caught drug worth million tl market value ttwenty four,narcot dog kurt caught drug worth million tl market valu ttwenti four
"Tue, 31 Jul 2018 07:00:00 GMT","Hiç böyle bir çöküş görülmedi, rekorlar alt üst! - Uzmanpara",hiç böyle bir çöküş görülmedi rekorlar alt üst uzmanpara,2018-07-31 07:00:00,7,"Such a collapse has never been seen, records are shattered, Uzmanpara",collapse never see record shatter uzmanpara,collaps never seen record shatter uzmanpara
"Wed, 31 Jan 2018 08:00:00 GMT",EPİAŞ’ın 2018 piyasa işletim gelir tavanı belirlendi - Enerji Günlüğü,epi̇aş ın two thousand and eighteen piyasa işletim gelir tavanı belirlendi enerji günlüğü,2018-01-31 08:00:00,1,epi̇as's two thousand and eighteen market operating income ceiling has been determined energy diary,two thousand eighteen market operating income ceiling determine energy diary,two thousand eighteen market oper incom ceil determin energi diari
"Sat, 17 Mar 2018 07:00:00 GMT",10 yılın değeri en düşük kadroları | Son dakika ekonomi haberleri - Bloomberght,ten yılın değeri en düşük kadroları son dakika ekonomi haberleri bloomberght,2018-03-17 07:00:00,3,"The most undervalued staff of the year, breaking economic news, bloomberght",undervalue staff year break economic news bloomberght,undervalu staff year break econom news bloomberght
"Fri, 16 Nov 2018 08:00:00 GMT",PES 2019’daki En İyi 7 Serbest Oyuncu - Red Bull,pes two thousand and nineteen daki en i̇yi seven serbest oyuncu red bull,2018-11-16 08:00:00,11,The best loving free agent in pes two thousand and nineteen is red bull,best love free agent pe two thousand nineteen red bull,best love free agent pe two thousand nineteen red bull
"Wed, 24 Jan 2018 08:00:00 GMT",Devletçilikten piyasa ekonomisine geçişin günü - memurlar.net,devletçilikten piyasa ekonomisine geçişin günü memurlar net,2018-01-24 08:00:00,1,"The day of the transition from statism to market economy, civil servants are clear",day transition statism market economy civil servant clear,day transit statism market economi civil servant clear
"Tue, 16 Jan 2018 08:00:00 GMT",Hızlı hisseler ve enerjide parlayanlar - Borsanın Gündemi,hızlı hisseler ve enerjide parlayanlar borsanın gündemi,2018-01-16 08:00:00,1,Fast stocks and those shining in energy are the agenda of the stock market,fast stock shin energy agenda stock market,fast stock shine energi agenda stock market
"Mon, 03 Sep 2018 07:00:00 GMT",ANKAMOB Başkanı Hüseyin Taklacı: Piyasa taklacılardan geçilmiyor - T24,ankamob başkanı hüseyin taklacı piyasa taklacılardan geçilmiyor ttwenty four,2018-09-03 07:00:00,9,ankamob president hüseyin taklacı the market is full of taklacıs ttwenty four,ankamob president hüseyin taklacı market full taklacıs ttwenty four,ankamob presid hüseyin taklacı market full taklacı ttwenti four
"Thu, 19 Apr 2018 07:00:00 GMT",Kripto paraların piyasa grafiğinden esinlenerek yarış oyunu yaptılar - DonanımHaber,kripto paraların piyasa grafiğinden esinlenerek yarış oyunu yaptılar donanımhaber,2018-04-19 07:00:00,4,They made a racing game inspired by the market chart of cryptocurrencies,make race game inspire market chart cryptocurrencies,made race game inspir market chart cryptocurr
"Fri, 02 Feb 2018 08:00:00 GMT",Galaxy S9un piyasa çıkış tarihi ve fiyatı [Sızıntı] - DonanımHaber,galaxy snineun piyasa çıkış tarihi ve fiyatı sızıntı donanımhaber,2018-02-02 08:00:00,2,Galaxy Snineun market release date and price leak,galaxy snineun market release date price leak,galaxi snineun market releas date price leak
"Wed, 01 Aug 2018 07:00:00 GMT",Apple piyasa değeri nasıl 1 trilyon dolara geldi? - Teknoloji Haberleri - Habertürk,apple piyasa değeri nasıl one trilyon dolara geldi teknoloji haberleri habertürk,2018-08-01 07:00:00,8,How did Apple's market value reach one trillion dollars? Technology news Habertürk,apple market value reach one trillion dollar technology news habertürk,appl market valu reach one trillion dollar technolog news habertürk
"Tue, 06 Feb 2018 08:00:00 GMT",Ankara'da piyasa değeri 1 milyon lira olan tarihi eser ele geçirildi - Milliyet,ankara da piyasa değeri one milyon lira olan tarihi eser ele geçirildi milliyet,2018-02-06 08:00:00,2,A historical artifact with a market value of one million liras was seized in Ankara. nationality,historical artifact market value one million lira seize ankara nationality,histor artifact market valu one million lira seiz ankara nation
"Thu, 19 Jul 2018 07:00:00 GMT",Amazon'dan Tarihi Rekor! Piyasa Değeri İlk Kez 900 Milyar Doları Aştı - Haberler,amazon dan tarihi rekor piyasa değeri i̇lk kez nine hundred milyar doları aştı haberler,2018-07-19 07:00:00,7,Historical record market value exceeded nine hundred billion dollars for the first time from Amazon News,historical record market value exceed nine hundred billion dollar first time amazon news,histor record market valu exceed nine hundr billion dollar first time amazon news
"Wed, 18 Jul 2018 07:00:00 GMT","1 milyon Euro'ya Boluspor'a gitmişti, piyasa değeri 50 bin Euro'ya düştü - Hürriyet",one milyon euro ya boluspor a gitmişti piyasa değeri fifty bin euro ya düştü hürriyet,2018-07-18 07:00:00,7,"He went to Boluspor for one million euros, his market value dropped to fifty thousand euros, Hürriyet",go boluspor one million euro market value drop fifty thousand euro hürriyet,went boluspor one million euro market valu drop fifti thousand euro hürriyet
"Sat, 21 Apr 2018 07:00:00 GMT","Ömer Topçu: Bu piyasa çok zor, bir starın desteğini almak şart - Sabah",ömer topçu bu piyasa çok zor bir starın desteğini almak şart sabah,2018-04-21 07:00:00,4,"Ömer Topçu This market is very difficult, it is necessary to get the support of a star this morning.",ömer topçu market difficult necessary get support star morning,ömer topçu market difficult necessari get support star morn
"Thu, 18 Oct 2018 07:00:00 GMT",Taşucu Limanı’nda büyük operasyon! Piyasa değeri 24 milyon lira - CNN Türk,taşucu limanı nda büyük operasyon piyasa değeri twenty four milyon lira cnn türk,2018-10-18 07:00:00,10,large operation in Taşucu port market value twenty four million lira cnn turkish,large operation taşucu port market value twenty four million lira cnn turkish,larg oper taşucu port market valu twenti four million lira cnn turkish
"Thu, 11 Jan 2018 08:00:00 GMT",Aylin Coşkun: Neredeyse bütün piyasa sinsirella - Habertürk,aylin coşkun neredeyse bütün piyasa sinsirella habertürk,2018-01-11 08:00:00,1,Aylin Joshun almost the entire market Sinsirella Haberturk,aylin joshun almost entire market sinsirella haberturk,aylin joshun almost entir market sinsirella haberturk
"Fri, 26 Oct 2018 07:00:00 GMT","Belediye, piyasa fiyatının 3 katına, 200 araç kiraladı - memurlar.net",belediye piyasa fiyatının three katına two hundred araç kiraladı memurlar net,2018-10-26 07:00:00,10,"The municipality rented two hundred vehicles at three times the market price, officials said",municipality rent two hundred vehicle three time market price official say,municip rent two hundr vehicl three time market price offici said
"Thu, 04 Jan 2018 08:00:00 GMT",Ripple tarihi zirvesine çıktı - Dünya Gazetesi,ripple tarihi zirvesine çıktı dünya gazetesi,2018-01-04 08:00:00,1,ripple reached its historical peak world newspaper,ripple reach historical peak world newspaper,rippl reach histor peak world newspap
"Tue, 09 Jan 2018 08:00:00 GMT",Hisseleri iki ayda 13 kat artan şirkete SPK operasyonu - Ege Postası,hisseleri iki ayda thirteen kat artan şirkete spk operasyonu ege postası,2018-01-09 08:00:00,1,CMB operation for the company whose shares increased thirteen times in two months Ege Postası,cmb operation company whose share increase thirteen time two month ege postası,cmb oper compani whose share increas thirteen time two month ege postası
"Fri, 04 May 2018 07:00:00 GMT",Banka ve Piyasa İstihbaratçıları yeni yönetimi seçti haberi - Finans Gündem,banka ve piyasa i̇stihbaratçıları yeni yönetimi seçti haberi finans gündem,2018-05-04 07:00:00,5,Banking and market intelligence experts chose the new administration news finance agenda,banking market intelligence expert chose new administration news finance agenda,bank market intellig expert chose new administr news financ agenda
"Fri, 12 Oct 2018 07:00:00 GMT",Arda Turan'ın piyasa değeri ne kadar? - Sözcü Gazetesi,arda turan ın piyasa değeri ne kadar sözcü gazetesi,2018-10-12 07:00:00,10,How much is Arda Turan's market value? Sözcü Newspaper,much arda turan market value sözcü newspaper,much arda turan market valu sözcü newspap
"Tue, 25 Dec 2018 08:00:00 GMT",Piyasa hacmi yüzde 11.25 geriledi - Doviz.com,piyasa hacmi yüzde eleven twenty five geriledi doviz com,2018-12-25 08:00:00,12,market volume decreased by eleven twenty five percent doviz com,market volume decrease eleven twenty five percent doviz com,market volum decreas eleven twenti five percent doviz com
"Thu, 02 Aug 2018 07:00:00 GMT",8 teknoloji devi 3 günde 400 milyar dolar kaybetti - birgun.net,eight teknoloji devi three günde four hundred milyar dolar kaybetti birgun net,2018-08-02 07:00:00,8,"Eight technology giants lost four hundred billion dollars in three days, one day net",eight technology giant lose four hundred billion dollar three day one day net,eight technolog giant lost four hundr billion dollar three day one day net
"Sat, 05 May 2018 20:54:46 GMT","Cardano Fiyatı, Canlı ADA Piyasa Değeri ve Grafiği - Bitcoin Sistemi",cardano fiyatı canlı ada piyasa değeri ve grafiği bitcoin sistemi,2018-05-05 20:54:46,5,cardano price live island market cap and chart bitcoin system,cardano price live island market cap chart bitcoin system,cardano price live island market cap chart bitcoin system
"Mon, 27 Aug 2018 07:00:00 GMT",En yetenekli genç Türk futbolcular! - FOTOMAÇ,en yetenekli genç türk futbolcular fotomaç,2018-08-27 07:00:00,8,the most talented young turkish football players fotomaç,talented young turkish football player fotomaç,talent young turkish footbal player fotomaç
"Mon, 21 May 2018 07:00:00 GMT",Uyuşturucuya geçit yok - Köroğlu Gazetesi,uyuşturucuya geçit yok köroğlu gazetesi,2018-05-21 07:00:00,5,No passage to drugs Koroglu newspaper,passage drug koroglu newspaper,passag drug koroglu newspap
"Fri, 16 Mar 2018 07:00:00 GMT",Piyasa Değeri 1 Milyon TL Sahte Cinsel Güç Artırıcı Hap ve Enerji İçeceği Ele Geçirildi - Haberler,piyasa değeri one milyon tl sahte cinsel güç artırıcı hap ve enerji i̇çeceği ele geçirildi haberler,2018-03-16 07:00:00,3,"Market value of one million TL, fake sexual enhancement pills and energy drinks were seized. News",market value one million tl fake sexual enhancement pill energy drink seize news,market valu one million tl fake sexual enhanc pill energi drink seiz news
"Tue, 09 Jan 2018 08:00:00 GMT",Değeri 2 ayda 13 katına çıkan Beyaz Filo'ya operasyon - CNN Türk,değeri two ayda thirteen katına çıkan beyaz filo ya operasyon cnn türk,2018-01-09 08:00:00,1,Operation on the white fleet whose value increased thirteen times in two months cnn turk,operation white fleet whose value increase thirteen time two month cnn turk,oper white fleet whose valu increas thirteen time two month cnn turk
"Sat, 05 May 2018 20:20:21 GMT","Ethereum Fiyatı, Canlı ETH Piyasa Değeri ve Grafiği - Bitcoin Sistemi",ethereum fiyatı canlı eth piyasa değeri ve grafiği bitcoin sistemi,2018-05-05 20:20:21,5,ethereum price live eth market cap and chart bitcoin system,ethereum price live eth market cap chart bitcoin system,ethereum price live eth market cap chart bitcoin system
"Thu, 18 Oct 2018 07:00:00 GMT",Çalınan servet değerindeki at ve yavrusu bulundu - Sabah,çalınan servet değerindeki at ve yavrusu bulundu sabah,2018-10-18 07:00:00,10,The stolen horse and its calf worth a fortune were found this morning,steal horse calf worth fortune found morning,stolen hors calf worth fortun found morn
"Sun, 16 Sep 2018 07:00:00 GMT","Şampiyonlar Ligi rehberi (Gruplar, takımlar ve maç takvimi) - Evrensel.net",şampiyonlar ligi rehberi gruplar takımlar ve maç takvimi evrensel net,2018-09-16 07:00:00,9,champions league guide groups teams and match schedule universal net,champion league guide group team match schedule universal net,champion leagu guid group team match schedul univers net
"Wed, 05 Sep 2018 07:00:00 GMT",Güvensiz ürünü ifşa dönemi başladı - Sabah,güvensiz ürünü ifşa dönemi başladı sabah,2018-09-05 07:00:00,9,Unsafe product disclosure period started in the morning,unsafe product disclosure period start morning,unsaf product disclosur period start morn
"Sat, 04 Aug 2018 07:00:00 GMT",10 sene önce 1000 TL'lik Apple hissesi alsaydınız şimdi… - Sabah,ten sene önce one thousand tl lik apple hissesi alsaydınız şimdi sabah,2018-08-04 07:00:00,8,"If you had bought one thousand TL worth of Apple shares ten years ago, you would",bought one thousand tl worth apple share ten year ago would,bought one thousand tl worth appl share ten year ago would
"Sat, 05 May 2018 19:49:52 GMT","Bitcoin Fiyatı, Canlı BTC Piyasa Değeri ve Grafiği - Bitcoin Sistemi",bitcoin fiyatı canlı btc piyasa değeri ve grafiği bitcoin sistemi,2018-05-05 19:49:52,5,bitcoin price live btc market cap and chart bitcoin system,bitcoin price live btc market cap chart bitcoin system,bitcoin price live btc market cap chart bitcoin system
"Thu, 05 Apr 2018 07:00:00 GMT",Antalya'da 20 milyon dolarlık füze yapımında kullanılan selenyum-74 ile zenginleştirilmiş alüminyum ele geçirildi - Beyaz Gazete,antalya da twenty milyon dolarlık füze yapımında kullanılan selenyum seventy four ile zenginleştirilmiş alüminyum ele geçirildi beyaz gazete,2018-04-05 07:00:00,4,"Aluminum enriched with selenium seventy four, used in the production of twenty million dollar missiles, was seized in Antalya Beyaz Gazete",aluminum enrich selenium seventy four use production twenty million dollar missile seize antalya beyaz gazete,aluminum enrich selenium seventi four use product twenti million dollar missil seiz antalya beyaz gazet
"Mon, 15 Oct 2018 07:00:00 GMT",Bahçelievler’de piyasa değeri 30 bin lira olan sahte içki ele geçirildi - Aydın 24 Haber,bahçelievler de piyasa değeri thirty bin lira olan sahte içki ele geçirildi aydın twenty four haber,2018-10-15 07:00:00,10,"Counterfeit liquor with a market value of thirty thousand liras was seized in Bahçelievler, aydın twenty four news",counterfeit liquor market value thirty thousand lira seize bahçelievler aydın twenty four news,counterfeit liquor market valu thirti thousand lira seiz bahçelievl aydın twenti four news
"Wed, 15 Aug 2018 07:00:00 GMT",Serbest piyasa dolar euro alış fiyatı - AKŞAM,serbest piyasa dolar euro alış fiyatı akşam,2018-08-15 07:00:00,8,free market dollar euro purchase price evening,free market dollar euro purchase price even,free market dollar euro purchas price even
"Tue, 11 Dec 2018 08:00:00 GMT",Piyasa onların elinde... Paradan para kazanıyorlar - Yeni Akit Gazetesi,piyasa onların elinde paradan para kazanıyorlar yeni akit gazetesi,2018-12-11 08:00:00,12,"The market is in their hands, they make money from money, Yeni Akit Newspaper",market hand make money money yeni akit newspaper,market hand make money money yeni akit newspap
"Sun, 08 Apr 2018 07:00:00 GMT",Tesla'nın piyasa değeri Ford'u geçti - Teknolojioku,tesla nın piyasa değeri ford u geçti teknolojioku,2018-04-08 07:00:00,4,Tesla's market value exceeds Ford's. Teknolojioku,tesla market value exceeds ford teknolojioku,tesla market valu exce ford teknolojioku
"Wed, 21 Mar 2018 07:00:00 GMT","Amazon, dünyanın piyasa değeri en yüksek ikinci şirketi oldu - AKŞAM",amazon dünyanın piyasa değeri en yüksek ikinci şirketi oldu akşam,2018-03-21 07:00:00,3,Amazon became the second company with the highest market value in the world,amazon become second company high market value world,amazon becam second compani highest market valu world
"Wed, 01 Aug 2018 07:00:00 GMT",dolar ne kadar? euro ne kadar? dolar kaç para? euro kaç para? 1 ağustos çarşamba döviz kurları - Takvim,dolar ne kadar euro ne kadar dolar kaç para euro kaç para one ağustos çarşamba döviz kurları takvim,2018-08-01 07:00:00,8,how much is the dollar how much is the euro how much is the dollar how much is the euro how much is the one august wednesday exchange rates calendar,much dollar much euro much dollar much euro much one august wednesday exchange rate calendar,much dollar much euro much dollar much euro much one august wednesday exchang rate calendar
"Mon, 17 Dec 2018 08:00:00 GMT",İl Müdürümüz Tutum Yatırım ve Türk Malları Haftası Etkinliğine Katıldı - Manisa MEB,i̇l müdürümüz tutum yatırım ve türk malları haftası etkinliğine katıldı manisa meb,2018-12-17 08:00:00,12,"Our provincial manager attended the Tutu Investment and Turkish Goods Week event, Manisa Meb",provincial manager attend tutu investment turkish good week event manisa meb,provinci manag attend tutu invest turkish good week event manisa meb
"Sat, 06 Oct 2018 07:00:00 GMT",Japon şirketleri Türkiye'de nasıl daha fazla yatırım yapar? - BBC,japon şirketleri türkiye de nasıl daha fazla yatırım yapar bbc,2018-10-06 07:00:00,10,How do Japanese companies invest more in Türkiye BBC,japanese company invest türkiye bbc,japanes compani invest türkiy bbc
"Sun, 21 Oct 2018 07:00:00 GMT",Amasya'ya 55 milyon liralık yatırım - Anadolu Ajansı,amasya ya fifty five milyon liralık yatırım anadolu ajansı,2018-10-21 07:00:00,10,fifty five million lira investment in amasya anadolu agency,fifty five million lira investment amasya anadolu agency,fifti five million lira invest amasya anadolu agenc
"Sat, 13 Oct 2018 07:00:00 GMT","Gençliğe yatırım, geleceğe yatırım - BURSA BÜYÜKŞEHİR BELEDİYESİ",gençliğe yatırım geleceğe yatırım bursa büyükşehi̇r beledi̇yesi̇,2018-10-13 07:00:00,10,investment in youth investment in the future bursa metropolitan municipality,investment youth investment future bursa metropolitan municipality,invest youth invest futur bursa metropolitan municip
"Fri, 05 Oct 2018 07:00:00 GMT",Büyükşehir'den Beş Yıldızlı Yatırım - Kayseri Büyükşehir Belediyesi,büyükşehir den beş yıldızlı yatırım kayseri büyükşehir belediyesi,2018-10-05 07:00:00,10,five-star investment from the metropolitan municipality kayseri metropolitan municipality,investment metropolitan municipality kayseri metropolitan municipality,invest metropolitan municip kayseri metropolitan municip
"Wed, 31 Oct 2018 07:00:00 GMT",6 Nolu Aile Sağlığı Merkezi Açıldı SELÇUKLU`DA SAĞLIĞA YATIRIM SÜRÜYOR - Selçuklu Belediyesi,six nolu aile sağlığı merkezi açıldı selçuklu da sağliğa yatirim sürüyor selçuklu belediyesi,2018-10-31 07:00:00,10,"Family Health Center No. Six was opened. Investment in health continues in Selçuklu, Selçuklu Municipality",family health center six open investment health continue selçuklu selçuklu municipality,famili health center six open invest health continu selçuklu selçuklu municip
"Wed, 24 Oct 2018 07:00:00 GMT",Miami: Türklerin Amerika’da hızla büyüyen yatırım rotası - Euronews.com,miami türklerin amerika da hızla büyüyen yatırım rotası euronews com,2018-10-24 07:00:00,10,miami is the rapidly growing investment route of turks in america euronews com,miami rapidly grow investment route turk america euronews com,miami rapidli grow invest rout turk america euronew com
"Fri, 19 Oct 2018 07:00:00 GMT",OYAK RENAULT’TAN BURSA’YA YENİ YATIRIM! - Türk Metal Sendikası,oyak renault tan bursa ya yeni̇ yatirim türk metal sendikası,2018-10-19 07:00:00,10,new investment from oyak renault to bursa turkish metal union,new investment oyak renault bursa turkish metal union,new invest oyak renault bursa turkish metal union
"Thu, 25 Oct 2018 07:00:00 GMT","Bakan Murat Kurum: 'Bakanlık Olarak Konya'ya 11,5 Milyarlık Yatırım Yaptık' - Konya Büyükşehir Belediyesi",bakan murat kurum bakanlık olarak konya ya eleven five milyarlık yatırım yaptık konya büyükşehir belediyesi,2018-10-25 07:00:00,10,"Minister Murat Kurum, as a ministry, we invested eleven-five billion in Konya, Konya Metropolitan Municipality.",minister murat kurum ministry invest billion konya konya metropolitan municipality,minist murat kurum ministri invest billion konya konya metropolitan municip
"Mon, 24 Dec 2018 08:00:00 GMT",Mersin'de Teşvikler ve Destekler | Utku Karabağ | 24.12.2018 - verginet.net,mersin de teşvikler ve destekler utku karabağ twenty four twelve two thousand and eighteen verginet net,2018-12-24 08:00:00,12,incentives and supports in mersin utku karabağ twenty four twelve two thousand and eighteen bilginet net,incentive support mersin utku karabağ twenty four twelve two thousand eighteen bilginet net,incent support mersin utku karabağ twenti four twelv two thousand eighteen bilginet net
